title,category,genre,year,direct,actors,content
에브리씽 유브 갓 하우 두 유 노우?,극영화,"로맨스,코메디",2010,제임스 L. 브룩스,제임스 L. 브룩스,"소프트볼,국가대표,탈락,투수,중역,회계,부정,누명"
S.W.A.T.: 파이어 파이트,극영화,액션,2011,베니 붐,리드 스타이너,"동료,킬러,LA,경찰특공대,심리학자,인질,복수"
넥스트 어벤져 : 히어로 오브 투모로우,애니메이션,"어드벤처,액션",2012,"제이 올리바,개리 해틀","그레그 존슨,크랙 카일","어벤져,아이언맨,출생의비밀,헐크"
스콧 필그림,극영화,"로맨스,코메디,판타지,액션",2010,에드가 라이트,"에드가 라이트,마이클 바콜","토론토,록밴드,이상형,데이트,결투,전남자친구"
복수자,극영화,"드라마,범죄,스릴러,액션",2010,조지 틸만 주니어,"토니 게이튼,조 게이튼","은행털이,감옥,복수,은퇴,형사,킬러"
콜렉터,극영화,공포,2009,마커스 던스탄,"마커스 던스탄,패트릭 멜튼","보석털이,집수리,사채업자,빚,금고,침입자"
신들의 전쟁,극영화,"드라마,판타지,액션",2011,타셈 싱,,"신,영웅,올림푸스,전쟁,석공,예지자,운명"
명백한 죄악,극영화,드라마,2008,마크 웨버,마크 웨버,"필리델피아,빈민,의료보험,사랑과우정"
헐크 대,애니메이션,액션,2009,"샘 리우 ,프랭크 포어","크랙 카일,크리스토퍼 요스트","실험,이복형제,헐크,토르,만화원작,미국만화원작,마블코믹스"
플래닛 헐크,애니메이션,"어드벤처,액션",2010,샘 리우 ,그레그 존슨,"애물단지,헐크,불시착,검투사,분노"
해리 포터와 죽음의 성물 - 2부,극영화,"어드벤처,판타지",2011,데이빗 예이츠,스티브 클로브즈,"마법사,소설원작,속편,시리즈,전쟁,지팡이,해리포터,성물,마법학교,영국소설원작,기차"
장 쟝티,극영화,드라마,2010,"이스라엘 카르데나스,로라 아멜리아 구즈만 ","로라 아멜리아 구즈만 ,이스라엘 카르데나스","중년남자,일자리,교수,외국인노동자,세계화"
엘류테리아의 꿈 ,극영화,드라마,2010,렘튼 시에가 수아솔라 ,마리아 빅토리아 벨트란 ,"빚,결혼,배,롱테이크"
독신남,극영화,코메디,2010,지 하우 ,지 하우 ,"시골마을,노총각,할아버지,회상,청춘"
스나이퍼: 리로디드,극영화,"드라마,스릴러,액션",2011,클라우디오 파,존 파사노,"아프리카,유엔군,저격수,암살자"
바이올린,극영화,드라마,2005,프란시스코 바르가스 ,프란시스코 바르가스 ,"농사,음악가,반란군,바이올린,전쟁"
트리 오브 라이프,극영화,드라마,2011,테렌스 맬릭,테렌스 맬릭,"중년남자,건축가,아버지와아들,가족"
링컨 차를 타는 변호사,극영화,"드라마,범죄,스릴러",2011,브래드 퍼맨,존 로마노,"변호사,LA,의뢰인,강간미수,재벌,범인"
마마 고고,극영화,드라마,2010,프리드릭 토르 프리드릭슨 ,프리드릭 토르 프리드릭슨 ,"알츠하이머병,남편의죽음,요양원,탈출,엄마와아들"
늑대아이 ,애니메이션,"어드벤처,로맨스,판타지",2012,호소다 마모루,"호소다 마모루,오쿠데라 사토코","늑대인간,비밀,사랑,육아"
노도 ,극영화,공포,2009,엘리오 퀴로가,엘리오 퀴로가,"소아과의사,산후우울증,이사,환영"
신 소림사 - 쿵푸마스터,극영화,액션,2010,도우 시아오,,"소림사,쿵푸,스님,무술고수,왕"
음모자,극영화,드라마,2010,로버트 레드포드,,"링컨,암살,변호사,무죄,남북전쟁"
러브 앤 프렌즈,극영화,"로맨스,코메디",2011,루크 그린필드,"제니 스나이더 ,에밀리 기핀 ","연애,변호사,뉴욕,디자이너,결혼식,생일,약혼자,동기,여름휴가"
엑스맨: 퍼스트 클래스,극영화,"어드벤처,액션",2011,매튜 본,"제인 골드먼,애쉴리 밀러,제이미 모스,조쉬 슈와츠","CIA,냉전,돌연변이,마블코믹스,만화원작,미국만화원작,속편,시리즈,우정,유전자,텔레파시,핵전쟁"
게임 오브 데스,극영화,"어드벤처,스릴러,액션",2010,지오지오 세라피니 ,짐 애그뉴 ,"전직CIA,은퇴,국가기밀,무기,불법판매,비리"
그린랜턴: 반지의 선택,극영화,액션,2011,마틴 캠벨,"그레그 버란티,마이클 골든버그","반지,우주,은하계,후계자,만화원작,미국만화원작,영웅"
스킬스,극영화,드라마,2011,요하네스 루네보그,토마스 암뢰브,"경찰,불법,게임,복수"
밴디지,극영화,드라마,2010,고바야시 타케시,이와이 슈운지,"락밴드,1990년대,음악,열정"
토니 스토리: 깡통제국의 비밀,애니메이션,어드벤처,2013,토머스 보덴스테인 ,"마크 슬레이터 ,가브리엘레 발터","기사,재활용,음모,모험,깡통"
권법 쿵푸의신,극영화,"드라마,코메디,액션",2010,정사걸,정사걸,"무술,코미디,쿵푸,권법"
버닝맨,극영화,"드라마,로맨스",2011,조나단 리플리츠키,조나단 리플리츠키,"아내,기억,요리사,이별,시간"
까밀 리와인드,극영화,"드라마,코메디",2012,노에미 르보브스키,노에미 르보브스키,"40대,과거,이혼,타임리프,현실,시간여행"
다크 리벤지,극영화,"드라마,스릴러,액션",2011,케오니 왝스먼,,"시애틀,중국,비밀경찰,스트리퍼,흑마술"
빨간 모자의 진실 2,애니메이션,"드라마,코메디",2010,마이크 디사,"코리 에드워즈,토드 에드워즈","헨젤과 그레텔,비밀요원,해피엔딩,마녀,빨간모자,늑대"
밴드 명: 올 댓 아이 러브,극영화,드라마,2009,Jacek Borcuch ,Jacek Borcuch ,"폴란드,노조,펑크밴드,반항,정체성"
체인지 어드레스,극영화,"로맨스,코메디",2006,엠마누엘 무레,엠마누엘 무레,"내성적,음악가,여대생,룸메이트,충고"
넉 아웃,극영화,액션,2010,,,"액션,할리우드,스턴트맨,오디션,격투경기"
환상의 순간,극영화,"드라마,어드벤처",2012,디에고 모디노,디에고 모디노,"환상,현실,폭력,세상"
아빠의 트럭,극영화,드라마,2013,마우리씨오 오사키,마우리씨오 오사키,"하루,성장영화,로드무비,베트남,현실,도덕"
소사이어티,극영화,드라마,2012,얀스 아수르,"얀스 아수르,니클라스 레드스톰","이방인,여행,생존,두려움,변화"
분만실,애니메이션,드라마,2012,벤함 델다데,벤함 델다데,"탄생,행복,슬픔,자랑,수치,분만"
언어의 정원,애니메이션,로맨스,2013,신카이 마코토,신카이 마코토,"구두,비,장마,연상의 여인"
러브레이스,극영화,드라마,2012,"롭 엡스타인,제프리 프리드먼",앤디 벨린,"실화바탕,여배우,여성인권,인권운동가,포르노배우,헐리우드,성인영화배우,린다러브레이스"
스위트 카르마,극영화,"드라마,범죄,스릴러",2009,앤드류 토마스 헌트,앤드류 토마스 헌트,"복수,스트리퍼,언니,캐나다,반전"
천공의 눈,극영화,"범죄,스릴러",2007,유내해,,"감시,미행,잠복근무,잠복수사,비밀경찰"
탱고 위드 미,극영화,"드라마,코메디",2012,프레데릭 폰테인,"앤느 폴리세비치,필립 브라스방","교도관,탱고,짝사랑,연애"
커플로 살아남기,극영화,"드라마,코메디",2010,그레그 버란티,"이안 디치맨,크리스틴 러스크 로빈슨","데이트,양육,케이터링,앙숙"
거침없이 사랑하라,극영화,드라마,2008,마누엘 고메즈 페레이라,살바도르 가르시아 루이즈,"소꿉친구,성폭행,연인,두려움"
곰돌이 푸,애니메이션,어드벤처,2010,스티븐 J. 앤더슨,A.A 밀른,"곰돌이,푸,모험"
8인의 사무라이,극영화,"드라마,액션",2008,저스틴 앰브로시노,저스틴 앰브로시노,"검술,배우,사무라이"
비치슬랩,극영화,"스릴러,액션",2009,릭 제이콥슨,릭 제이콥슨,"사막,다이아몬드,고문,세 여자"
타이페이 카페 스토리,극영화,"드라마,로맨스",2010,소아전 ,소아전 ,"카페,자매,안식처,벼룩시장,교환"
레오니드 이야기,애니메이션,드라마,2011,"라이너 루트비크스,테티아나 체르니아브스카 ",,"소련,재앙,가족,체르노빌,방사능"
딜레마,극영화,"드라마,코메디",2011,론 하워드,알란 로엡,"독신주의자,불륜,미행,친구"
파괴된 낙원,극영화,드라마,2012,이브 드부아즈,"이브 드부아즈,나디네 나마리","아버지와딸,엄마,가족해체,소녀,성장기"
맘메이 아저씨,극영화,드라마,2012,드웨인 발타자르,드웨인 발타자르,"필리핀,아저씨,죽음,기다림"
눈물과 웃음의 베오그라드 안내서,극영화,드라마,2011,보얀 불레티치,"보얀 불레티치,스테판 아르세니예비치","옴니버스영화,세르비아,네커플,러브스토리,예술,정치"
개구쟁이 스머프 2,애니메이션,"드라마,코메디,가족",2013,라자 고스넬,"캐리 커크패트릭,데이비드 론","스머프,만화원작,악당,납치,파리"
소울 오브 브레드,극영화,"로맨스,코메디",2012,"고병권,임군양",,"대만,빵집,청혼,제빵사"
스트리퍼 VS 늑대인간  ,극영화,"코메디,공포",2012,조나단 글렌데닝,팻 히긴스,"스트리퍼,늑대인간,거짓"
알.이.씨 3: 제네시스,극영화,공포,2012,파코 플라자,"파코 플라자,루이스 베르데조","신랑,신부,좀비,피로연,속편,시리즈"
우리동네 포르노스타,극영화,코메디,2012,프랭크 가스탐비드,프랭크 가스탐비드,"포르노,스타,대박,백수,소꿉친구"
쏘우 : 데스 머신,극영화,공포,2009,크레이그 맥마흔,크레이그 맥마흔,"고문,살인마,공장"
포인트 블랭크,극영화,스릴러,2010,프레드 카바예,프레드 카바예,"아내,만삭,의식불명,납치,추격"
카이츠,극영화,"로맨스,스릴러,액션",2010,아누락 바수 ,"아누락 바수 ,로빈 바트 ","멕시코,사막,태양,결혼"
