title,link,image,author,price,discount,publisher,pubdate,isbn,description
"<b>82년생 김지영</b> (오늘의 젊은 작가 13,조남주 장편소설)",http://book.naver.com/bookdb/book_detail.php?bid=11211133,https://bookthumb-phinf.pstatic.net/cover/112/111/11211133.jpg?type=m1&udate=20211228,조남주,13000,11700,민음사,20161014,8937473135 9788937473135,"공포, 피로, 당황, 놀람, 혼란, 좌절의 연속에 대한 한국 여자의 인생 현장 보고서!문학성과 다양성, 참신성을 기치로 한국문학의 미래를 이끌어 갈 신예들의 작품을 엄선한 「오늘의 젊은 작가」의 열세 번째 작품 『<b>82년생 김지영</b>』. 서민들의 일상 속 비극을 사실적이면서 공감대 높은 스토리로 표현하는 데... "
<b>나미야 잡화점의 기적</b> (땡큐 에디션),http://book.naver.com/bookdb/book_detail.php?bid=7102772,https://bookthumb-phinf.pstatic.net/cover/071/027/07102772.jpg?type=m1&udate=20220122,히가시노 게이고,14800,13320,현대문학,20121219,8972756199 9788972756194,"기적과 감동을 추리한다!&#x0D;히가시노 게이고의 차기 대표작으로 손꼽힐 &#x0D;『<b>나미야 잡화점의 기적</b>』&#x0D;&#x0D;『<b>나미야 잡화점의 기적</b>』은 2012년 3월 일본에서 출간되어 큰 화제를 불러일으킨, 우리 시대를 대표하는 작가 히가시노 게이고의 작품이다. 작가가 그동안 일관되게 추구해온 인간 내면에... "
"<b>언어의 온도</b> (170만부 기념 에디션, 말과 글에는 그리고 삶에는 나름의 따뜻함과 차가움이 있다)",http://book.naver.com/bookdb/book_detail.php?bid=10924505,https://bookthumb-phinf.pstatic.net/cover/109/245/10924505.jpg?type=m1&udate=20211207,이기주,13800,12420,말글터,20160819,1195522126 9791195522125,"▶ <b>언어의 온도</b>(170만부 기념 에디션) 은 온라인 혹은 일부매장에서 구매 가능하십니다.

말과 글에는 나름의 온도가 있다.언어에는 따뜻함과 차가움, 적당한 온기 등 나름의 온도가 있다. 세상살이에 지칠 때 어떤 이는 친구와 이야기를 주고받으며 고민을 털기도 하고, 어떤 이는 책을 읽으며 작가가 건네는... "
<b>돌이킬 수 없는 약속</b>,http://book.naver.com/bookdb/book_detail.php?bid=11611116,https://bookthumb-phinf.pstatic.net/cover/116/111/11611116.jpg?type=m1&udate=20210715,야쿠마루 가쿠,15000,13500,북플라자,20170202,8998274795 9788998274795,"응징과 용서의 진정한 의미는 무엇인가!주인공이 과거에 저지른 죄, 그리고 15년 전에 했던 어떤 약속을 둘러싸고 벌어지는 미스터리를 그린 야쿠마루 가쿠의 소설 『<b>돌이킬 수 없는 약속</b>』. 자신이 일하던 가게의 손님이었던 오치아이의 제안으로 바를 겸하는 레스토랑의 공동경영자가 된 무카이. 그는..."
"<b>아몬드</b> (손원평 장편소설,제10회 창비 청소년문학상 수상작)",http://book.naver.com/bookdb/book_detail.php?bid=11802243,https://bookthumb-phinf.pstatic.net/cover/118/022/11802243.jpg?type=m1&udate=20220317,손원평,12000,10800,창비,20170331,8936434268 9788936434267,"괴물인 내가 또 다른 괴물을 만났다!영화와도 같은 강렬한 사건과 매혹적인 문체로 시선을 사로잡는 한국형 영 어덜트 소설 『<b>아몬드</b>』. 타인의 감정에... ‘<b>아몬드</b>’라 불리는 편도체가 작아 분노도 공포도 잘 느끼지 못하는 그는 타고난 침착성, 엄마와 할머니의 지극한 사랑 덕에 별 탈 없이 지냈지만... "
<b>죽고 싶지만 떡볶이는 먹고 싶어</b> 2,http://book.naver.com/bookdb/book_detail.php?bid=14850019,https://bookthumb-phinf.pstatic.net/cover/148/500/14850019.jpg?type=m1&udate=20190617,백세희,13800,12420,흔,20190503,1196394571 9791196394578,&quot;이 정도로 많이 읽힐 책은 아닌 거 같은데…….&quot; &lt;<b>죽고 싶지만 떡볶이는 먹고 싶어</b>&gt;가 베스트셀러 대열에 올랐을 때 백세희 작가의 반응이다. 상담 내용을 잊어버릴까 봐 녹취를 풀어 쓴 것에서 시작된 글이 2018년 한 해 가장 사랑받은 에세이가 될 줄은 아무도 몰랐으니까. 그저 자신과 비슷한 이들...
<b>나는 나로 살기로 했다</b>,http://book.naver.com/bookdb/book_detail.php?bid=21473397,https://bookthumb-phinf.pstatic.net/cover/214/733/21473397.jpg?type=m1&udate=20220208,김수현,16000,14400,클레이하우스,20220204,1197377158 9791197377150,"전 세계에서 사랑받는 한국 에세이의 대표작 『<b>나는 나로 살기로 했다</b>』 출간 5주년 기념 개정증보판“더 단단하고 속 깊어져서 돌아온 이유 있는 베스트셀러”-전 세계 156만 독자의 선택-최장기 스테디셀러 1위-일본에서 가장 많이 팔린 한국 책-글 6개, 그림 19컷 추가 수록최장기 스테디셀러 1위.... "
<b>채식주의자</b>,http://book.naver.com/bookdb/book_detail.php?bid=22292424,https://bookthumb-phinf.pstatic.net/cover/222/924/22292424.jpg?type=m1&udate=20220330,한강,15000,13500,창비,20220328,8936434594 9788936434595,"인터내셔널 부커상, 산클레멘테 문학상 수상작전세계가 주목한 한강의 역작을 다시 만나다2016년 인터내셔널 부커상을 수상하며 한국문학의 입지를 한단계 확장시킨 한강의 장편소설 『<b>채식주의자</b>』를 15년 만에 새로운 장정으로 선보인다. 상처받은 영혼의 고통과 식물적 상상력의 강렬한 결합을 정교한... "
<b>당신이 옳다</b> (정혜신의 적정심리학),http://book.naver.com/bookdb/book_detail.php?bid=14027973,https://bookthumb-phinf.pstatic.net/cover/140/279/14027973.jpg?type=m1&udate=20210728,정혜신,15800,14220,해냄출판사,20181010,8965746663 9788965746669,"안정적인 일상을 위해 스스로 마음의 문제를 해결할 수 있도록 도와주는 공감 행동지침서!30여 년간 정신과 의사로 활동하며 1만2천여 명의 속마음을 듣고 나누었고, 《<b>당신</b>으로 충분하다》, 《정혜신의 사람 공부》 등의 책을 통해 독자들과 소통해온 정혜신이 우리 사회 곳곳에서 많은 이들이 무너지고..."
<b>사피엔스</b> (그래픽히스토리),http://book.naver.com/bookdb/book_detail.php?bid=17524406,https://bookthumb-phinf.pstatic.net/cover/175/244/17524406.jpg?type=m1&udate=20220105,유발 하라리|다비드 반데르묄렝,17800,16020,김영사,20201123,8934991321 9788934991328,"‘그래픽 히스토리’로 돌아온 《<b>사피엔스</b>》의 빅 퀘스천 1탄: 인류의 탄생
흥미롭고 기발한 만화적 상상력으로 재미와 이해도를 높인 《<b>사피엔스</b>》2015년 11월 출간 이후 하라리 열풍을 일으킨 《<b>사피엔스</b>》가 ‘그래픽 히스토리’로 돌아왔다. 2020년부터 1년마다 순차적으로 출간되는 《<b>사피엔스</b>: 그래픽... "
