word,mean
갓생,부지런한 삶
캘박,캘린더 박제
점메추,점심 메뉴 추천
웃안웃,약간 슬프다
인싸,친구가 많은
꾸안꾸,꾸민 듯 안 꾸민
빼박,명백한 사실
뇌피셜,내 생각
빌런,민폐를 끼치는 사람
고답,너무 답답하다
갑분싸,갑자기 분위기가 안좋다
댕댕이,강아지
제곧내,제목이 곧 내용
TMI,너무 과한 정보
JMT,정말 맛있다
마상,마음의 상처
커엽,귀엽
영고,영원한 고통
믿거,믿고 거른다
뽀시래기,귀여운 것
존버,끝까지 버디타
졌잘싸,졌지만 잘 싸웠다
소확행,소소하지만 확실한 행복
사바사,사람마다 다르다
와우내,놀라움
롬곡옾높,폭풍 눈물
띵곡,명곡
엄근진,엄격하고 근엄하고 진지
법블레스유,법 아니었으면 넌 죽었어
병먹금,관심 주지 말자
성덕,성공한
띵언,명언
할많하않,할말은 많은데 하지는 않을게
할말하않,할말은 많은데 하지는 않을게
팩폭,사실을 들키다
뼈뚜맞,사실을 들키다
멍청비용,낭비한 돈
현시창,암담한 현실
핑프,민폐를 끼치는 사람
쌉파서블,매우 가능한
머선129,무슨일이야
알잘딱깔센,알아서 잘 딱 깔끔하고 센스있게
좋못사,좋아함을 넘어 사랑한다
이생망,이번 생은 망하다
라떼는,나 때는
롬곡,눈물
갑통알,돈이 없어 알바해야겠다
whyrano,왜 이래
쫌쫌따리,조금씩
억텐,억지 기분
레게노,전설
누물보,누구 물어본 사람?
ㄱㅇㅇ,귀여워
쌉에이블,매우 할 수 있다
킹받네,화나네
킹받다,화나네
잼민이,유치한 사람
복세편살,편하게 살자
ㄴㅇㄱ,놀라움
어쩔,어쩌라고
무야호,우와
ㅋㅋㄹㅃㅃ,ㅋㅋㅋㅋ
너 뭐 돼,마음에 안들어
서동요,소원하다
킹받는다,화난다
킹받음,화난다
킹받,화난
개웃겨,정말 웃기다
개웃긴다,정말 웃기다
개웃,정말 웃긴
레알,정말
ㄹㅇ,정말
찐,진짜
