title,content,public,date,image,user_id
즐거운화요일,저 별을 가슴에품다 지쳐다시잠에들어,1,2022-05-03,,a
행복한 오늘,"날씨가 좋아서 산책을 했다.
산책을 하다 귀여운 강아지를 만났다.
기분이 좋았다.",1,2022-05-03,,user1
오늘은 화가 나는 날이었다,"일이 많아서 점심도 못 먹고 일을 했다. 
그런데 옆 자리 직원이 내 심기를 계속 건드려서 더 화가 났다.",1,2022-05-03,,user9
피곤하지만 즐거운 하루,"오늘은 친구와 함께 하루 종일 돌아다녔다.
집에 와서 뻗었지만 그래도 즐거운 하루",1,2022-05-04,,user9
슬펐던 하루,"오늘은 되는 일이 없는 하루였다.
회사에서도 상사한테 혼나고 퇴근하고 친구랑도 사이가 안 좋아졌다. 
내일은 좀 더 나은 하루이길.",1,2022-05-04,,user1
행복한 하루,친구 만나서 맛있는 것도 먹고 좋은 전시도 봤다,1,2022-03-05,,user1
행복한 하루,친구 만나서 맛있는 것도 먹고 좋은 전시도 봤다,1,2022-04-05,,user1
행복한 하루,친구 만나서 맛있는 것도 먹고 좋은 전시도 봤다,1,2022-04-08,,user1
행복한 하루,친구 만나서 맛있는 것도 먹고 좋은 전시도 봤다,1,2022-05-01,,user1
화가 나는 하루,"동생이 내가 아끼는 물건을 망가뜨렸다. 그래놓고 적반하장으로 나와서 한대, 아니 여러대 쥐어 박았다.",1,2022-05-02,,user1
화가 나는 하루,"동생이 내가 아끼는 물건을 망가뜨렸다. 그래놓고 적반하장으로 나와서 한대, 아니 여러대 쥐어 박았다.",1,2022-04-03,,user1
화가 나는 하루,"동생이 내가 아끼는 물건을 망가뜨렸다. 그래놓고 적반하장으로 나와서 한대, 아니 여러대 쥐어 박았다.",1,2022-02-03,,user1
행복한 하루,친구 만나서 맛있는 것도 먹고 좋은 전시도 봤다,1,2022-02-01,,user1
화가 나는 하루,"동생이 내가 아끼는 물건을 망가뜨렸다. 그래놓고 적반하장으로 나와서 한대, 아니 여러대 쥐어 박았다.",1,2022-03-03,,user1
행복한 하루,친구 만나서 맛있는 것도 먹고 좋은 전시도 봤다,1,2022-03-01,,user1
화가 나는 하루,"동생이 내가 아끼는 물건을 망가뜨렸다. 그래놓고 적반하장으로 나와서 한대, 아니 여러대 쥐어 박았다.",1,2022-03-05,,user1
행복한 하루,친구 만나서 맛있는 것도 먹고 좋은 전시도 봤다,1,2022-03-05,,user1
오늘의 테스트,"내일은 신나는 코딩 테스트 날!

그지같다!",0,2022-05-05,media/pngwing.com.png,abc
안녕하세요.,적당히 바람이 불어 기분이 너무 좋아요. 유후~,1,2022-05-06,media/AKR20161009051800005_01_i_P4.jpg,abc
오늘은 잠실 가는 날!,"오늘은 잠실 여기저기 돌아다녀 보았다.
석촌 호수에 예쁘게 핀 벚꽃도 보고 맛있는 딤섬도 먹었다.",1,2022-04-14,media/output2.png,user10
대전 엑스포,"친구와 함께 떠난 대전 엑스포.
항상 만나자는 말만 하고 시간이 너무 서로 안맞았다.
니가 참 좋아😍",1,2022-04-17,media/MicrosoftTeams-image_2.png,user10
빅프로젝트 마지막이 오고 있다.,"열심히 준비하고는 있지만 긴장이 너무 많이 된다. ㅠㅠ
좋은 결과가 있어야 하는데 ㅠㅠ",0,2022-05-06,,user10
이제부터 에이블 스쿨의 시작!,"에이블 스쿨을 신청하고 합격해서 너무 기분이 좋다.
많은 것을 배워갔으면 좋겠다.",0,2021-12-13,,user10
너의 이름은,"오늘 친구랑 같이 영화를 보았다.
영화 제목은 '너의 이름은' 너무 감동이었다. ㅋㅋㅋ",1,2022-04-11,media/AKR20161009051800005_01_i_P4_t72PY0U.jpg,user10
코딩 테스트,"코딩 테스트를 보았는데 결과가 망했다.
최악이다. 너무 짜증난다.",0,2022-02-05,,user10
대청소 하는 날,"집이 너무 더러웠다.
할 일도 많은데, 청소 할 거리는 왜 이렇게 많을까?
짜증이 계속 난다.",1,2022-02-19,media/output9.png,user10
석촌호수,"벚꽃과 함께한 석촌호수.
너무나도 아름다웠다.",1,2022-04-10,media/KakaoTalk_20220506_161234101.jpg,user10
